City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Course Description
137,Mahebourg,MU,2021-12-03 20:46:44,-20.4081,57.7,78.26,83,20,8.05,few clouds
138,Castro,BR,2021-12-03 20:41:53,-24.7911,-50.0119,70.0,70,53,9.26,broken clouds
139,Totma,RU,2021-12-03 20:46:45,59.9747,42.7642,17.4,95,100,9.37,light snow
140,Bambous Virieux,MU,2021-12-03 20:46:45,-20.3428,57.7575,78.22,83,20,8.05,few clouds
141,Dikson,RU,2021-12-03 20:46:46,73.5069,80.5464,-22.79,94,96,14.43,overcast clouds
142,Hilo,US,2021-12-03 20:42:08,19.7297,-155.09,82.8,72,20,4.61,few clouds
143,Hasaki,JP,2021-12-03 20:46:47,35.7333,140.8333,34.2,64,0,7.94,clear sky
144,Sidi Ali,DZ,2021-12-03 20:46:47,36.0998,0.4206,51.19,60,5,7.74,clear sky
145,Broken Hill,AU,2021-12-03 20:46:48,-31.95,141.4333,58.71,51,35,14.97,scattered clouds
146,Anamur,TR,2021-12-03 20:46:49,36.0751,32.8369,57.22,78,100,7.52,overcast clouds
147,Leshukonskoye,RU,2021-12-03 20:46:49,64.8989,45.7622,-8.27,100,8,3.31,clear sky
148,Dutlwe,BW,2021-12-03 20:46:50,-23.9833,23.9,82.08,34,49,5.06,scattered clouds
149,Gorontalo,ID,2021-12-03 20:46:50,0.5412,123.0595,75.45,95,100,3.4,overcast clouds
150,Longyearbyen,SJ,2021-12-03 20:44:25,78.2186,15.6401,35.44,60,40,19.57,scattered clouds
151,Boguchany,RU,2021-12-03 20:46:51,58.3814,97.4531,32.45,96,100,11.54,light snow
152,Hamilton,US,2021-12-03 20:45:29,39.1834,-84.5333,61.77,50,1,3.0,clear sky
153,Yellowknife,CA,2021-12-03 20:45:35,62.456,-114.3525,-8.59,90,90,13.8,light snow
154,Dunedin,NZ,2021-12-03 20:42:52,-45.8742,170.5036,58.41,97,100,3.44,overcast clouds
155,Fairbanks,US,2021-12-03 20:46:52,64.8378,-147.7164,-21.01,72,1,0.0,clear sky
156,Goundi,TD,2021-12-03 20:46:52,9.3627,17.366,80.83,27,80,3.98,broken clouds
157,Saran,FR,2021-12-03 20:46:53,47.9501,1.876,48.81,94,90,16.11,light rain
158,Ribeira Grande,PT,2021-12-03 20:46:54,38.5167,-28.7,64.8,88,40,3.44,scattered clouds
159,Drochia,MD,2021-12-03 20:46:55,48.035,27.8161,32.32,81,98,7.87,overcast clouds
160,Kalabo,ZM,2021-12-03 20:46:55,-14.97,22.6814,80.78,45,95,3.36,overcast clouds
161,Mount Gambier,AU,2021-12-03 20:46:56,-37.8333,140.7667,51.71,87,40,1.14,scattered clouds
162,Arlit,NE,2021-12-03 20:46:56,18.7369,7.3853,73.56,13,1,6.42,clear sky
163,Bramming,DK,2021-12-03 20:46:57,55.4695,8.7001,44.55,93,40,11.5,scattered clouds
164,Yar-Sale,RU,2021-12-03 20:46:57,66.8333,70.8333,-10.84,92,100,9.8,overcast clouds
165,Neuquen,AR,2021-12-03 20:44:35,-38.9516,-68.0591,60.69,72,75,0.0,light rain
166,Aloleng,PH,2021-12-03 20:46:58,16.1307,119.7824,77.34,62,100,11.92,overcast clouds
167,Ostrovnoy,RU,2021-12-03 20:46:59,68.0531,39.5131,22.75,68,100,10.71,overcast clouds
168,Torbat-E Jam,IR,2021-12-03 20:46:59,35.244,60.6225,42.21,78,100,5.12,overcast clouds
169,Inhambane,MZ,2021-12-03 20:46:59,-23.865,35.3833,76.14,96,15,8.77,few clouds
170,Nyurba,RU,2021-12-03 20:47:00,63.2842,118.3319,-0.44,96,100,7.9,light snow
171,Goderich,CA,2021-12-03 20:47:01,43.7501,-81.7165,35.91,75,99,2.3,overcast clouds
172,Saint-Augustin,CA,2021-12-03 20:43:09,51.226,-58.6502,38.21,100,100,6.73,overcast clouds
173,Guerrero Negro,MX,2021-12-03 20:44:34,27.9769,-114.0611,70.05,56,0,14.09,clear sky
174,Tiksi,RU,2021-12-03 20:47:01,71.6872,128.8694,-32.28,99,52,5.66,broken clouds
175,Lasa,IT,2021-12-03 20:47:02,46.6166,10.7002,27.48,47,52,2.64,broken clouds
176,Revelstoke,CA,2021-12-03 20:42:13,50.9832,-118.2023,32.02,74,1,3.44,clear sky
177,Yatou,CN,2021-12-03 20:42:20,37.15,122.3833,37.74,64,3,7.81,clear sky
178,Katsuura,JP,2021-12-03 20:47:03,35.1333,140.3,46.51,63,0,11.97,clear sky
179,Nantucket,US,2021-12-03 20:42:54,41.2835,-70.0995,42.94,54,42,27.47,scattered clouds
180,Sao Joao Da Barra,BR,2021-12-03 20:47:04,-21.6403,-41.0511,71.69,80,85,7.36,overcast clouds
181,Adrar,MR,2021-12-03 20:47:04,20.5022,-10.0711,67.68,22,100,9.69,overcast clouds
182,Rivadavia,AR,2021-12-03 20:47:05,-33.1905,-68.4608,72.07,60,54,21.99,broken clouds
183,Pauini,BR,2021-12-03 20:47:05,-7.7136,-66.9764,77.88,94,99,2.26,overcast clouds
184,Nikolskoye,RU,2021-12-03 20:47:06,59.7035,30.7861,23.02,95,100,6.96,overcast clouds
185,Rawson,AR,2021-12-03 20:47:06,-43.3002,-65.1023,67.8,34,2,23.42,clear sky
186,Najran,SA,2021-12-03 20:47:07,17.4924,44.1277,56.05,30,2,1.99,clear sky
187,Podebrady,CZ,2021-12-03 20:45:00,50.1424,15.1188,34.18,70,92,10.2,overcast clouds
188,Maracacume,BR,2021-12-03 20:47:07,-2.0428,-45.9592,77.05,91,93,3.13,heavy intensity rain
189,Orotina,CR,2021-12-03 20:47:08,9.912,-84.5234,84.96,71,81,2.71,broken clouds
190,Tatawin,TN,2021-12-03 20:47:09,32.9297,10.4518,49.08,65,1,14.9,clear sky
191,Waipawa,NZ,2021-12-03 20:47:10,-41.4122,175.5153,63.23,68,100,7.25,light rain
192,Isangel,VU,2021-12-03 20:47:10,-19.55,169.2667,73.51,88,20,0.0,few clouds
193,Yangjiang,CN,2021-12-03 20:47:11,21.85,111.9667,53.96,37,66,5.97,broken clouds
194,Bintulu,MY,2021-12-03 20:47:12,3.1667,113.0333,75.61,100,40,3.0,light rain
195,Bubaque,GW,2021-12-03 20:47:12,11.2833,-15.8333,82.09,73,92,12.88,overcast clouds
196,Richards Bay,ZA,2021-12-03 20:47:13,-28.783,32.0377,69.51,86,100,2.46,overcast clouds
197,Moen,NO,2021-12-03 20:47:13,69.1304,18.6123,17.67,84,0,0.0,clear sky
198,Benghazi,LY,2021-12-03 20:47:14,32.1167,20.0667,67.33,40,100,4.41,overcast clouds
199,Brasilia De Minas,BR,2021-12-03 20:47:14,-16.2064,-44.4333,72.95,88,79,4.88,broken clouds
200,Vao,NC,2021-12-03 20:47:15,-22.6667,167.4833,76.35,77,91,15.3,overcast clouds
201,Ponta Do Sol,PT,2021-12-03 20:47:15,32.6667,-17.1,65.03,67,73,9.86,broken clouds
202,Berzunti,RO,2021-12-03 20:47:16,46.4,26.6333,35.65,83,100,2.91,overcast clouds
203,Sur,OM,2021-12-03 20:45:20,22.5667,59.5289,73.08,57,0,6.06,clear sky
204,Lakes Entrance,AU,2021-12-03 20:47:17,-37.8811,147.981,57.58,68,50,10.76,scattered clouds
205,Tawang,IN,2021-12-03 20:47:17,27.5833,91.8667,41.36,85,99,3.13,overcast clouds
206,Fortuna,US,2021-12-03 20:47:18,40.5982,-124.1573,50.92,100,75,3.44,broken clouds
207,Kaoma,ZM,2021-12-03 20:47:19,-14.7833,24.8,73.98,48,59,5.12,broken clouds
208,Kem,RU,2021-12-03 20:47:19,64.9555,34.5793,13.39,82,84,6.15,broken clouds
209,Sao Filipe,CV,2021-12-03 20:47:20,14.8961,-24.4956,75.63,70,83,13.53,broken clouds
